"","X","labnr","bp","std","site","lat","lng","db_source"
"36226",39205,"GrN-8841",4180,60,"Hochdorf-Baldegg",47.1822,8.2822,"XRONOS"
"36227",39206,"GrN-8842",3870,60,"Hochdorf-Baldegg",47.1822,8.2822,"XRONOS"
"36228",39207,"GrN-8843",3400,55,"Hochdorf-Baldegg",47.1822,8.2822,"XRONOS"
"36229",39208,"Ua-10408",3780,85,"Hof, Cham",47.2157,8.4577,"XRONOS"
"36230",39209,"Ua-10409",3720,70,"Hof, Cham",47.2157,8.4577,"XRONOS"
"36231",39210,"Ua-10410",4020,90,"Hof, Cham",47.2157,8.4577,"XRONOS"
"36232",39211,"UZ-1648",3995,70,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36233",39212,"UZ-1649",3875,80,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36234",39213,"UZ-1650",4085,75,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36235",39214,"UZ-1651",4330,70,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36236",39215,"UZ-1652",4470,40,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36237",39216,"UZ-2914",5282,65,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36238",39217,"UZ-2915",5890,95,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36239",39218,"UZ-2916",5300,70,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36240",39219,"UZ-2917",5230,80,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36241",39220,"UZ-3572",4670,65,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36242",39221,"UZ-3573",4260,65,"Hüneberg - Chämleten",47.175,8.446,"XRONOS"
"36243",39222,"B-6339",4330,40,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36244",39223,"B-6340",4360,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36245",39224,"B-6341",4440,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36246",39225,"B-6342",4460,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36247",39226,"B-6343",4520,40,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36248",39227,"B-6344",4540,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36249",39228,"B-6345",4540,40,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36250",39229,"B-6346",4460,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36251",39230,"B-6347",4490,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36252",39231,"B-6348",4510,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36253",39232,"B-6349",4450,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36254",39233,"B-6350",4440,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36255",39234,"B-6351",4350,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36256",39235,"B-6352",4490,40,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36257",39236,"B-6353",4440,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36258",39237,"B-6354",4560,40,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36259",39238,"B-6355",4350,40,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36260",39239,"B-6356",4440,40,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36261",39240,"B-6357",4400,30,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36262",39241,"B-6383",4530,40,"Hünenberg-Chämleten, Strandbad",47.1754,8.425,"XRONOS"
"36272",39256,"UZ-4010",5380,60,"Lenzburg - Goffersberg",47.3879,8.1766,"XRONOS"
"36273",39257,"UZ-4013",5420,65,"Lenzburg - Goffersberg",47.3879,8.1766,"XRONOS"
"36274",39258,"UZ-4014",5455,60,"Lenzburg - Goffersberg",47.3879,8.1766,"XRONOS"
"36278",39262,"UCLA-1833",4180,60,"Männedorf",47.2569,8.6989,"XRONOS"
"36279",39263,"UCLA-1820",4130,60,"Maur",47.3361,8.66,"XRONOS"
"36280",39264,"UCLA",5170,70,"Meilen-Feldmeilen, Vorderfeld",47.278,8.617,"XRONOS"
"36281",39265,"UCLA-1835B",4040,70,"Meilen-Obermeilen",47.2862,8.6586,"XRONOS"
"36282",39266,"UCLA-1835C",4390,65,"Meilen-Obermeilen",47.2862,8.6586,"XRONOS"
"36283",39267,"UCLA-1835D",4480,70,"Meilen-Obermeilen",47.2862,8.6586,"XRONOS"
"36284",39268,"UCLA-1835E",5280,60,"Meilen-Obermeilen",47.2862,8.6586,"XRONOS"
"36286",39270,"Lv-625",5170,130,"Muntelier",46.9426,7.1357,"XRONOS"
"36287",39271,"ETH-12748",4735,60,"Murten - Vorder Prehl 3",46.9259,7.126,"XRONOS"
"36301",39285,"B-2050",5020,100,"Pleigne, Löwenburg",47.4351,7.315,"XRONOS"
"36302",39286,"B-2057",4940,240,"Pleigne, Löwenburg",47.4351,7.315,"XRONOS"
"36303",39287,"B-2601",5210,100,"Pleigne, Löwenburg",47.4351,7.315,"XRONOS"
"36304",39288,"B-1601",3260,100,"Pleigne, Löwenburg",47.4351,7.315,"XRONOS"
"36305",39289,"Lv-616",4170,70,"Pont de Thielle",47.0213,7.0371,"XRONOS"
"36306",39290,"Lv-620",4340,100,"Pont de Thielle",47.0213,7.0371,"XRONOS"
"36308",39292,"B-3379",3700,70,"Rances, Champ Vully",46.7607,6.5297,"XRONOS"
"36309",39293,"B-3380",3750,80,"Rances, Champ Vully",46.7607,6.5297,"XRONOS"
"36310",39294,"CRG-354",3700,85,"Rances, Champ Vully",46.7607,6.5297,"XRONOS"
"36311",39295,"CRG-355",3910,60,"Rances, Champ Vully",46.7607,6.5297,"XRONOS"
"36312",39296,"CRG-357",3800,70,"Rances, Champ Vully",46.7607,6.5297,"XRONOS"
"36313",39297,"UtC-7255",4879,40,"Risch",47.1359,8.4667,"XRONOS"
"36314",39298,"UtC-7256",4942,40,"Risch",47.1359,8.4667,"XRONOS"
"36315",39299,"UtC-7257",4888,40,"Risch",47.1359,8.4667,"XRONOS"
"36316",39300,"ETH-3695",6510,110,"Saint-Ursanne",47.3647,7.1544,"XRONOS"
"36317",39301,"ETH-4714",5965,80,"Saint-Ursanne",47.3647,7.1544,"XRONOS"
"36323",39307,"B-881",4980,120,"Schenkon",47.181,8.1337,"XRONOS"
"36324",39308,"B-882",4830,150,"Schenkon",47.181,8.1337,"XRONOS"
"36325",39309,"B-114",4390,80,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36326",39310,"B-115",4950,90,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36327",39311,"B-115/2",4950,120,"Seeberg-Burgaeschisee-Sued",47.17,7.669,"XRONOS"
"36328",39312,"B-116",4930,120,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36329",39313,"B-116/2",4750,100,"Seeberg-Burgaeschisee-Sued",47.17,7.669,"XRONOS"
"36334",39318,"B-120",4500,100,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36335",39319,"B-121",4680,100,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36336",39320,"B-122",4750,100,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36337",39321,"B-123",4530,100,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36338",39322,"B-125",4550,100,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36339",39323,"B-126",4500,110,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36340",39324,"B-244",4790,120,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36341",39325,"B-245",4630,120,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36342",39326,"LJ-1293",5060,35,"Seeberg, Burgäschisee-Süd",47.155,7.6666,"XRONOS"
"36449",39433,"ETH-17371",4015,65,"Spreitenbach",47.4251,8.3647,"XRONOS"
"36450",39434,"ETH-17372",3920,60,"Spreitenbach",47.4251,8.3647,"XRONOS"
"36451",39435,"ETH-17373",3890,60,"Spreitenbach",47.4251,8.3647,"XRONOS"
"36452",39436,"ETH-19935",4035,50,"Spreitenbach",47.4251,8.3647,"XRONOS"
"36453",39437,"ETH-19936",3955,50,"Spreitenbach",47.4251,8.3647,"XRONOS"
"36455",39439,"ARC-162",4160,65,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36456",39440,"ARC-173",4300,70,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36457",39441,"ARC-218",4120,100,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36458",39442,"ARC-222",4180,60,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36459",39443,"ARC-226",4250,60,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36460",39444,"ARC-227",4300,60,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36461",39445,"ARC-292",4230,50,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36462",39446,"ARC-294",4270,60,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36463",39447,"ARC-295",4280,70,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36464",39448,"ARC-296",4210,80,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
"36465",39449,"ARC-297",4240,80,"Steinhausen - Sennweid",47.1879,8.485,"XRONOS"
