,ID_site,ID_external,state,federal_state,community,cadastral_section,site_type_1,site_type_2,dat_type,chrono_very_rough,chrono_rough,chrono_complex,LV03_Hochwert_fuzzy,LV03_Rechtswert_fuzzy
4212,4473,2301,CH,Luzern,Ettiswil,Neuchidli,single find,single find,typological,prehistoric,,,225036,645090
4213,4474,2265,CH,Luzern,Ettiswil,Ronmatt (L2.120),single find,stray findings (>1),typological,neolithic,,,224085,645510
4214,4475,1202,CH,Luzern,Ettiswil,Sandweid (L2.112),single find,stray findings (>1),typological,prehistoric,,,225471,646627
4215,4476,2203,CH,Luzern,Ettiswil,Schwengmatt (L2.106),single find,stray findings (>1),typological,neolithic,,,224579,645744
4216,4477,2222,CH,Luzern,Ettiswil,Schwengmatt Nord (L2.143),single find,stray findings (>1),typological,prehistoric,,,225485,645476
4217,4478,2228,CH,Luzern,Ettiswil,Seewagen Ost Station 15c (L2.101),single find,stray findings (>1),typological,neolithic,,,224229,645616
4218,4479,1198,CH,Luzern,Ettiswil,Seewagen Sandgrube,single find,stray findings (>1),typological,prehistoric,,,224798,645981
4219,4480,2251,CH,Luzern,Ettiswil,Seewagen Station 15,single find,stray findings (>1),typological,neolithic,,,225308,646106
4220,4481,2252,CH,Luzern,Ettiswil,Seewagen Station 15a,single find,stray findings (>1),typological,neolithic,,,225222,645642
4221,4482,2254,CH,Luzern,Ettiswil,Seewagen Süd Station 24 (L2.81),single find,stray findings (>1),typological,neolithic,,,225673,647343
4222,4483,2223,CH,Luzern,Ettiswil,Seewagermoos 1 (L2.97),single find,stray findings (>1),typological,neolithic,,,224407,644635
4223,4484,2197,CH,Luzern,Ettiswil,Seewagermoos 3 (L2.118),single find,single find,typological,prehistoric,,,224176,644861
4224,4485,2339,CH,Luzern,Ettiswil,Seewagermoos Funde 1979,single find,stray findings (>1),typological,prehistoric,,,224583,646055
4225,4486,2253,CH,Luzern,Ettiswil,Seewagermoos Station 17,single find,stray findings (>1),typological,neolithic,,,224364,646027
4226,4487,2276,CH,Luzern,Ettiswil,Seewagermoos Station 22,single find,stray findings (>1),typological,neolithic,,,225276,646739
4227,4488,2263,CH,Luzern,Ettiswil,Seewagermoos Station 29,single find,stray findings (>1),typological,neolithic,,,223969,644438
4228,4489,2338,CH,Luzern,Ettiswil,Staatsmoos,single find,single find STONE AXE,typological,neolithic,,,224049,645305
4229,4490,1201,CH,Luzern,Ettiswil,Unterfeld 2a (L2.148),single find,single find,typological,prehistoric,,,225152,647037
4230,4491,1192,CH,Luzern,Ettiswil,Weierhus allgemein,single find,stray findings (>1),typological,neolithic,,,221935,645033
4231,4492,2332,CH,Luzern,Ettiswil,Weierhus Damm,single find,single find STONE AXE,typological,neolithic,,,225533,645982
4232,4493,2267,CH,Luzern,Ettiswil,Zwischen Station 8 und 9,single find,stray findings (>1),typological,neolithic,,,225389,646309
4233,4494,1821,CH,Luzern,Fischbach,Mittler Reiferswil,single find,single find,typological,bronze age,,,230684,640908
4234,4495,2478,CH,Luzern,Gettnau,Museggen Olisrüti,single find,single find,typological,prehistoric,,,222729,642706
4235,4496,1641,CH,Luzern,Hitzkirch,Müswangen Seck,single find,stray findings (>1),typological,prehistoric,,,225905,650193
4236,4497,677,CH,Luzern,Hochdorf,Badi Baldegg,single find,stray findings (>1),typological,prehistoric,,,227128,663687
